Instituição(IES);Sigla;Categoria Administrativa;Código Curso;Nome do Curso;Modalidade;CC;Data início funcionamento;Data Ato de Criação;Situação
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1457323;PETRÓLEO E GÁS;Presencial;-;Não iniciado;01/11/2018;Extinto
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;98073;PETRÓLEO E GÁS;Presencial;4;09/08/2006;05/04/2005;Em Atividade
Centro Universitário Estácio da Bahia;Estácio Bahia;Privada com fins lucrativos;97059;PETRÓLEO E GÁS;Presencial;3;28/08/2006;02/08/2006;Extinto
Faculdade Área1 Wyden;Área1 Wyden;Privada com fins lucrativos;1178793;PETRÓLEO E GÁS;Presencial;-;02/05/2017;02/05/2017;Extinto
FACULDADE DO SUL DA BAHIA;FASB;Privada sem fins lucrativos;106990;PETRÓLEO E GÁS;Presencial;3;11/02/2008;22/10/2007;Em Atividade
Faculdade Unirb - Feira de Santana;F. UNIRB;Privada com fins lucrativos;1204334;PETRÓLEO E GÁS;Presencial;3;13/10/2016;14/10/2016;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1138861;PETRÓLEO E GÁS;Presencial;-;04/02/2001;14/09/2012;Extinto
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1513944;PETRÓLEO E GÁS;Presencial;-;03/01/2020;16/09/2019;Em Atividade
Centro Universitário UNIRB - Alagoinhas;-;Privada com fins lucrativos;1138831;PETRÓLEO E GÁS;Presencial;3;05/08/2012;21/09/2011;Extinto
FACULDADE DOM PEDRO II DE TECNOLOGIA;FDP II Tec;Privada com fins lucrativos;1151588;PETRÓLEO E GÁS;Presencial;3;01/01/2013;26/06/2012;Em Atividade
FACULDADE DE TECNOLOGIA E CIÊNCIAS DA BAHIA;FATEC/BA;Privada com fins lucrativos;1057560;PETRÓLEO E GÁS;Presencial;4;02/08/2012;-;Extinto
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1280524;PILOTAGEM PROFISSIONAL DE AERONAVES;Presencial;4;14/12/2015;05/10/2015;Em Extinção
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1608234;PILOTAGEM PROFISSIONAL DE AERONAVES;A Distância;-;13/07/2022;28/06/2022;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1576080;PODOLOGIA;A Distância;-;02/08/2021;07/05/2021;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;1484499;PODOLOGIA;Presencial;-;Não iniciado;03/04/2019;Extinto
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1458159;PODOLOGIA;A Distância;-;18/02/2019;28/09/2018;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1608586;PODOLOGIA;A Distância;-;Não iniciado;03/06/2022;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1565651;PODOLOGIA;A Distância;-;15/02/2021;10/02/2021;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1441042;PODOLOGIA;Presencial;-;06/12/2019;04/04/2018;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1486094;PODOLOGIA;A Distância;-;04/07/2019;13/05/2019;Em Atividade
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1575522;PODOLOGIA;A Distância;-;31/05/2021;12/04/2021;Em Atividade
CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI CIMATEC;Privada sem fins lucrativos;105772;POLÍMEROS;Presencial;5;11/02/2008;13/09/2007;Em Extinção
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA;UFRB;Pública Federal;1404915;POLÍTICA E GESTÃO CULTURAL;Presencial;-;25/03/2019;16/07/2018;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1484193;PRÁTICAS INTEGRATIVAS E COMPLEMENTARES;A Distância;-;10/02/2020;20/05/2019;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;8248;PROCESSAMENTO DE DADOS;Presencial;-;01/03/1990;08/05/1989;Extinto
FACULDADE DE TECNOLOGIA SENAI CETIND;-;Privada sem fins lucrativos;115442;PROCESSOS AMBIENTAIS;Presencial;-;04/02/2008;17/10/2008;Extinto
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1575952;PROCESSOS CERVEJEIROS;A Distância;-;31/05/2021;23/04/2021;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1595642;PROCESSOS ESCOLARES;A Distância;-;Não iniciado;10/11/2021;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1485839;PROCESSOS ESCOLARES;A Distância;-;14/06/2019;14/06/2019;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1466460;PROCESSOS ESCOLARES;A Distância;-;01/02/2018;09/06/2016;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1487510;PROCESSOS ESCOLARES;A Distância;-;26/06/2019;26/06/2019;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1485863;PROCESSOS ESCOLARES;A Distância;-;25/06/2019;27/05/2019;Em Atividade
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1551165;PROCESSOS ESCOLARES;A Distância;-;Não iniciado;19/10/2020;Em Atividade
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1415348;PROCESSOS GERENCIAIS;A Distância;5;02/10/2017;22/08/2017;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1161357;PROCESSOS GERENCIAIS;A Distância;4;01/02/2011;17/08/2010;Em Atividade
CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO;UNIÍTALO;Privada sem fins lucrativos;1375407;PROCESSOS GERENCIAIS;A Distância;-;03/03/2017;01/11/2016;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1258536;PROCESSOS GERENCIAIS;A Distância;-;04/02/2013;19/12/2012;Em Atividade
CENTRO UNIVERSITÁRIO ANHANGUERA PITÁGORAS AMPLI;-;Privada com fins lucrativos;1519967;PROCESSOS GERENCIAIS;A Distância;-;06/04/2020;21/02/2020;Em Atividade
UNIVERSIDADE DO OESTE PAULISTA;UNOESTE;Privada sem fins lucrativos;1352558;PROCESSOS GERENCIAIS;A Distância;5;05/02/2018;04/10/2017;Em Atividade
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;97327;PROCESSOS GERENCIAIS;A Distância;4;06/04/2004;19/12/2003;Em Atividade
UNIVERSIDADE BRASIL;UB;Privada sem fins lucrativos;1204213;PROCESSOS GERENCIAIS;A Distância;3;01/02/2013;26/11/2012;Em Atividade
UNIVERSIDADE PAULISTA;UNIP;Privada com fins lucrativos;100315;PROCESSOS GERENCIAIS;A Distância;-;01/04/2006;10/11/2004;Em Atividade
UNIVERSIDADE SANTO AMARO;UNISA;Privada sem fins lucrativos;1387451;PROCESSOS GERENCIAIS;A Distância;5;01/02/2016;15/09/2014;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1181341;PROCESSOS GERENCIAIS;A Distância;4;30/07/2012;-;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1385785;PROCESSOS GERENCIAIS;Presencial;5;15/02/2017;23/09/2016;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1520584;PROCESSOS GERENCIAIS;Presencial;-;17/02/2020;05/02/2020;Em Atividade
UNIVERSIDADE CATÓLICA DOM BOSCO;UCDB;Privada sem fins lucrativos;1117355;PROCESSOS GERENCIAIS;A Distância;3;01/02/2010;01/10/2009;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1070597;PROCESSOS GERENCIAIS;Presencial;4;01/08/2011;15/01/2010;Em Atividade
Centro Universitário Ruy Barbosa Wyden;UniRuy Wyden;Privada com fins lucrativos;1330378;PROCESSOS GERENCIAIS;Presencial;-;02/12/2016;02/12/2016;Extinto
UNIVERSIDADE TIRADENTES;UNIT;Privada com fins lucrativos;1430646;PROCESSOS GERENCIAIS;A Distância;-;05/02/2018;05/02/2018;Extinto
UNIVERSIDADE CATÓLICA DE BRASÍLIA;UCB;Privada sem fins lucrativos;1150599;PROCESSOS GERENCIAIS;A Distância;4;01/02/2011;28/04/2010;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;103332;PROCESSOS GERENCIAIS;A Distância;3;15/06/2007;02/04/2007;Em Atividade
UNIVERSIDADE DE MARÍLIA;UNIMAR;Privada com fins lucrativos;1484089;PROCESSOS GERENCIAIS;A Distância;5;29/07/2019;13/05/2019;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1322406;PROCESSOS GERENCIAIS;A Distância;4;23/02/2015;03/10/2014;Em Atividade
UNIVERSIDADE LUTERANA DO BRASIL;ULBRA;Privada sem fins lucrativos;1204982;PROCESSOS GERENCIAIS;A Distância;-;29/07/2013;09/11/2012;Em Atividade
UNIVERSIDADE DO SUL DE SANTA CATARINA;UNISUL;Privada sem fins lucrativos;1160076;PROCESSOS GERENCIAIS;A Distância;-;28/07/2007;19/09/2007;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1132366;PROCESSOS GERENCIAIS;A Distância;4;07/02/2011;02/09/2010;Em Atividade
UNIVERSIDADE CATÓLICA DO SALVADOR;UCSAL;Privada sem fins lucrativos;1517268;PROCESSOS GERENCIAIS;A Distância;-;10/02/2020;11/12/2019;Extinto
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;Privada sem fins lucrativos;1128965;PROCESSOS GERENCIAIS;A Distância;4;17/06/2013;18/04/2013;Em Atividade
UNIVERSIDADE LA SALLE;UNILASALLE;Privada sem fins lucrativos;1427700;PROCESSOS GERENCIAIS;A Distância;5;26/02/2018;24/01/2018;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;109110;PROCESSOS GERENCIAIS;Presencial;-;03/05/2001;03/05/2001;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;1204437;PROCESSOS GERENCIAIS;A Distância;-;01/02/2018;01/02/2018;Em Atividade
UNIVERSIDADE DE TAUBATÉ;UNITAU;Pública Municipal;1152597;PROCESSOS GERENCIAIS;A Distância;4;20/02/2010;16/06/2009;Em Atividade
UNIVERSIDADE ANHANGUERA;UNIDERP;Privada com fins lucrativos;1108026;PROCESSOS GERENCIAIS;A Distância;4;15/02/2010;17/08/2009;Em Atividade
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS;UNIGRAN;Privada sem fins lucrativos;1396092;PROCESSOS GERENCIAIS;A Distância;5;15/02/2017;09/08/2016;Em Atividade
UNIVERSIDADE SANTA CECÍLIA;UNISANTA;Privada sem fins lucrativos;1186932;PROCESSOS GERENCIAIS;A Distância;4;27/01/2014;30/08/2011;Em Atividade
UNIVERSIDADE METROPOLITANA DE SANTOS;UNIMES;Privada sem fins lucrativos;1483893;PROCESSOS GERENCIAIS;A Distância;-;01/08/2019;14/03/2019;Em Atividade
UNIVERSIDADE DO VALE DO TAQUARI;UNIVATES;Privada sem fins lucrativos;1419764;PROCESSOS GERENCIAIS;A Distância;5;09/03/2018;19/10/2017;Em Atividade
Centro Universitário Maurício de Nassau de Salvador;Uninassau Salvador;Privada sem fins lucrativos;95007;PROCESSOS GERENCIAIS;Presencial;4;18/02/2009;06/06/2006;Em Extinção
CENTRO UNIVERSITÁRIO DO INSTITUTO DE EDUCAÇÃO SUPERIOR DE BRASÍLIA - IESB;IESB;Privada com fins lucrativos;1438491;PROCESSOS GERENCIAIS;A Distância;5;26/02/2018;09/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;102290;PROCESSOS GERENCIAIS;Presencial;-;26/04/2007;13/04/2007;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;112998;PROCESSOS GERENCIAIS;A Distância;4;09/06/2008;03/06/2008;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1139905;PROCESSOS GERENCIAIS;Presencial;-;08/02/2010;20/01/2010;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1158916;PROCESSOS GERENCIAIS;A Distância;-;16/05/2011;15/04/2011;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1161845;PROCESSOS GERENCIAIS;Presencial;-;Não iniciado;09/05/2011;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1343933;PROCESSOS GERENCIAIS;Presencial;-;Não iniciado;18/12/2015;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1427441;PROCESSOS GERENCIAIS;Presencial;4;13/03/2019;21/12/2017;Extinto
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;121028;PROCESSOS GERENCIAIS;A Distância;4;04/08/2008;09/06/2008;Em Atividade
CENTRO UNIVERSITÁRIO FAEL;UNIFAEL;Privada com fins lucrativos;1260005;PROCESSOS GERENCIAIS;A Distância;4;02/03/2015;28/11/2014;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1328956;PROCESSOS GERENCIAIS;A Distância;4;04/03/2015;27/02/2015;Em Atividade
Faculdade Multivix Serra;MULTIVIX SERRA;Privada com fins lucrativos;1405210;PROCESSOS GERENCIAIS;A Distância;4;19/02/2018;27/11/2017;Em Atividade
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO;UNASP;Privada sem fins lucrativos;1305190;PROCESSOS GERENCIAIS;A Distância;5;01/02/2018;01/06/2017;Em Atividade
CENTRO UNIVERSITÁRIO SÃO LUCAS;UniSL;Privada com fins lucrativos;1425406;PROCESSOS GERENCIAIS;A Distância;4;16/07/2018;01/12/2017;Em Extinção
CENTRO UNIVERSITÁRIO INGÁ;UNINGÁ;Privada com fins lucrativos;1427735;PROCESSOS GERENCIAIS;A Distância;5;03/02/2018;23/10/2017;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;99980;PROCESSOS GERENCIAIS;A Distância;4;01/05/2006;24/03/2006;Em Atividade
CENTRO UNIVERSITÁRIO UNIDOM - BOSCO;UNIDOM - BOSCO;Privada com fins lucrativos;1487582;PROCESSOS GERENCIAIS;A Distância;-;01/08/2019;04/07/2019;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;70442;PROCESSOS GERENCIAIS;A Distância;-;26/05/2004;08/03/2004;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1364609;PROCESSOS GERENCIAIS;A Distância;5;02/02/2016;16/12/2015;Em Atividade
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ;UNIARAXÁ;Privada sem fins lucrativos;1579791;PROCESSOS GERENCIAIS;A Distância;-;Não iniciado;01/07/2021;Em Atividade
CENTRO UNIVERSITÁRIO AGES;UniAGES;Privada com fins lucrativos;1571129;PROCESSOS GERENCIAIS;A Distância;-;12/04/2021;06/04/2021;Em Atividade
Centro Universitário Favip Wyden;UniFavip Wyden;Privada com fins lucrativos;1438531;PROCESSOS GERENCIAIS;A Distância;4;19/02/2018;08/02/2018;Em Atividade
CENTRO UNIVERSITÁRIO DE LINS;UNILINS;Privada sem fins lucrativos;1262442;PROCESSOS GERENCIAIS;A Distância;5;06/05/2019;09/03/2017;Em Atividade
Centro Universitário UNIBTA;-;Privada com fins lucrativos;1514194;PROCESSOS GERENCIAIS;A Distância;-;06/03/2020;03/08/2018;Em Atividade
CENTRO UNIVERSITÁRIO SANTA CRUZ DE CURITIBA;UNI SANTA CRUZ;Privada sem fins lucrativos;1595466;PROCESSOS GERENCIAIS;A Distância;-;06/09/2021;06/09/2021;Em Atividade
Centro Universitário de Excelência Eniac;ENIAC;Privada com fins lucrativos;1159051;PROCESSOS GERENCIAIS;A Distância;5;08/11/2013;08/11/2013;Em Atividade
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;115236;PROCESSOS GERENCIAIS;Presencial;-;13/02/2003;05/04/2004;Extinto
FACULDADE IBMEC SÃO PAULO;IBMEC SP;Privada com fins lucrativos;1290759;PROCESSOS GERENCIAIS;A Distância;-;Não iniciado;05/03/2018;Extinto
FACULDADE SÃO SALVADOR;FSS;Privada com fins lucrativos;72105;PROCESSOS GERENCIAIS;Presencial;4;09/08/2004;20/05/2004;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1313406;PROCESSOS GERENCIAIS;A Distância;-;28/04/2014;23/12/2013;Em Atividade
CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU;UNINASSAU;Privada com fins lucrativos;1363810;PROCESSOS GERENCIAIS;A Distância;-;04/07/2016;04/07/2016;Extinto
CENTRO UNIVERSITÁRIO DOM PEDRO II;UNIDOMPEDRO;Privada com fins lucrativos;1332331;PROCESSOS GERENCIAIS;A Distância;4;07/08/2017;12/06/2017;Em Atividade
CENTRO UNIVERSITÁRIO CIDADE VERDE;UniCV;Privada com fins lucrativos;1465713;PROCESSOS GERENCIAIS;A Distância;-;18/02/2019;04/01/2019;Em Atividade
CENTRO UNIVERSITÁRIO FACVEST;UNIFACVEST;Privada com fins lucrativos;1419966;PROCESSOS GERENCIAIS;A Distância;5;01/02/2018;24/10/2017;Em Atividade
Faculdade Unyleya;-;Privada com fins lucrativos;1548725;PROCESSOS GERENCIAIS;A Distância;4;25/02/2022;29/10/2021;Em Atividade
CENTRO UNIVERSITÁRIO SENAI CIMATEC;SENAI CIMATEC;Privada sem fins lucrativos;109416;PROCESSOS GERENCIAIS;Presencial;5;01/02/2009;31/01/2008;Em Extinção
CENTRO UNIVERSITÁRIO SENAC;SENACSP;Privada sem fins lucrativos;1285815;PROCESSOS GERENCIAIS;A Distância;-;10/02/2014;26/04/2013;Em Atividade
FACULDADE ADVENTISTA DA BAHIA;FADBA;Privada sem fins lucrativos;1383872;PROCESSOS GERENCIAIS;Presencial;-;Não iniciado;20/09/2017;Extinto
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1538609;PROCESSOS GERENCIAIS;A Distância;-;03/07/2020;03/07/2020;Em Atividade
Faculdade Unina;-;Privada com fins lucrativos;1441270;PROCESSOS GERENCIAIS;A Distância;5;13/08/2019;12/07/2019;Em Atividade
FACULDADE DO SERTÃO BAIANO;FASBE;Privada com fins lucrativos;1261551;PROCESSOS GERENCIAIS;Presencial;4;01/07/2017;05/05/2017;Em Atividade
Faculdade de Ciências, Educação, Saúde, Pesquisa e Gestão;FSF;Privada com fins lucrativos;1305988;PROCESSOS GERENCIAIS;A Distância;5;01/02/2018;04/09/2017;Em Atividade
Faculdade Única de Ipatinga;FUNIP;Privada com fins lucrativos;1313512;PROCESSOS GERENCIAIS;A Distância;4;28/02/2018;13/09/2017;Em Atividade
Faculdade Católica Paulista;FACAP;Privada sem fins lucrativos;1439437;PROCESSOS GERENCIAIS;A Distância;5;05/03/2020;15/07/2019;Em Atividade
Faculdade de Tecnologia CNA;FATECNA;Privada sem fins lucrativos;1336908;PROCESSOS GERENCIAIS;A Distância;4;13/08/2018;-;Em Atividade
FACULDADE CAPITAL FEDERAL;FECAF;Privada com fins lucrativos;1336306;PROCESSOS GERENCIAIS;A Distância;4;01/11/2018;02/03/2018;Em Atividade
Faculdade AGES de Jacobina;Faculdade AGES;Privada com fins lucrativos;1527310;PROCESSOS GERENCIAIS;Presencial;4;Não iniciado;25/10/2021;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1599923;PROCESSOS METALÚRGICOS;A Distância;-;21/02/2022;21/02/2022;Em Atividade
Faculdade Unirb - Feira de Santana;F. UNIRB;Privada com fins lucrativos;1405402;PROCESSOS METALÚRGICOS;Presencial;-;Não iniciado;02/04/2018;Em Atividade
CENTRO UNIVERSITÁRIO INTERNACIONAL;UNINTER;Privada com fins lucrativos;1509222;PROCESSOS QUÍMICOS;A Distância;-;10/02/2020;24/10/2019;Em Atividade
FACULDADE DE TECNOLOGIA SENAI CETIND;-;Privada sem fins lucrativos;1158298;PROCESSOS QUÍMICOS;Presencial;-;Não iniciado;28/12/2012;Extinto
CENTRO UNIVERSITÁRIO UNIFATECIE;UNIFATECIE;Privada com fins lucrativos;1575558;PROCESSOS QUÍMICOS;A Distância;-;31/05/2021;12/04/2021;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1332074;PRODUÇÃO AUDIOVISUAL;A Distância;-;Não iniciado;10/08/2015;Extinto
UNIVERSIDADE DE UBERABA;UNIUBE;Privada sem fins lucrativos;1595460;PRODUÇÃO AUDIOVISUAL;A Distância;-;05/03/2022;26/10/2021;Em Atividade
UNIVERSIDADE METODISTA DE SÃO PAULO;UMESP;Privada sem fins lucrativos;1458547;PRODUÇÃO AUDIOVISUAL;A Distância;-;01/02/2019;18/10/2018;Em Atividade
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;Privada sem fins lucrativos;1596266;PRODUÇÃO AUDIOVISUAL;A Distância;-;21/02/2022;01/12/2021;Em Atividade
UNIVERSIDADE SALVADOR;UNIFACS;Privada com fins lucrativos;1606663;PRODUÇÃO AUDIOVISUAL;Presencial;-;03/06/2022;03/06/2022;Em Atividade
UNIVERSIDADE PARANAENSE;UNIPAR;Privada sem fins lucrativos;1427781;PRODUÇÃO AUDIOVISUAL;A Distância;-;19/02/2018;13/12/2017;Em Atividade
UNIVERSIDADE SALGADO DE OLIVEIRA;UNIVERSO;Privada sem fins lucrativos;109078;PRODUÇÃO AUDIOVISUAL;Presencial;-;02/02/2011;03/05/2001;Em Atividade
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;118864;PRODUÇÃO AUDIOVISUAL;Presencial;4;03/02/2009;06/06/2008;Extinto
CENTRO UNIVERSITÁRIO SÃO FRANCISCO DE BARREIRAS;-;Privada sem fins lucrativos;1177681;PRODUÇÃO AUDIOVISUAL;Presencial;4;14/02/2013;08/10/2012;Em Atividade
FACULDADE UNIME DE CIÊNCIAS SOCIAIS;FCS;Privada com fins lucrativos;1057517;PRODUÇÃO AUDIOVISUAL;Presencial;-;Não iniciado;15/12/2009;Extinto
CENTRO UNIVERSITÁRIO JORGE AMADO;UNIJORGE;Privada com fins lucrativos;1139778;PRODUÇÃO CÊNICA;Presencial;-;07/02/2011;17/12/2010;Extinto
Universidade Pitágoras Unopar Anhanguera;-;Privada com fins lucrativos;1576081;PRODUÇÃO CERVEJEIRA;A Distância;-;02/08/2021;07/05/2021;Em Atividade
UNIVERSIDADE CESUMAR;UNICESUMAR;Privada com fins lucrativos;1468280;PRODUÇÃO CERVEJEIRA;A Distância;-;22/02/2019;28/09/2018;Em Atividade
UNIVERSIDADE CRUZEIRO DO SUL;UNICSUL;Privada com fins lucrativos;1427750;PRODUÇÃO CULTURAL;A Distância;-;01/02/2018;13/12/2017;Em Atividade
UNIVERSIDADE CIDADE DE SÃO PAULO;UNICID;Privada com fins lucrativos;1427621;PRODUÇÃO CULTURAL;A Distância;-;01/02/2018;15/12/2017;Em Atividade
UNIVERSIDADE DE FRANCA;UNIFRAN;Privada com fins lucrativos;1427630;PRODUÇÃO CULTURAL;A Distância;-;01/02/2018;27/11/2017;Em Atividade
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1483675;PRODUÇÃO CULTURAL;A Distância;-;22/07/2019;19/03/2019;Em Atividade
CENTRO UNIVERSITÁRIO UNIRB;UNIRB;Privada com fins lucrativos;1441040;PRODUÇÃO DE CACAU E CHOCOLATE;Presencial;-;06/12/2019;04/04/2018;Em Atividade
FACULDADE MADRE THAIS;FMT;Privada com fins lucrativos;1351502;PRODUÇÃO DE CACAU E CHOCOLATE;Presencial;4;08/05/2018;08/02/2018;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1485155;PRODUÇÃO DE CERVEJA;A Distância;-;Não iniciado;25/06/2018;Extinto
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI;UNIASSELVI;Privada com fins lucrativos;1551808;PRODUÇÃO DE CERVEJA;A Distância;-;15/02/2021;28/10/2020;Em Atividade
UNIVERSIDADE ESTÁCIO DE SÁ;UNESA;Privada com fins lucrativos;1585307;PRODUÇÃO DE CONTEÚDO DIGITAL;A Distância;-;10/09/2021;16/07/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE RIBEIRÃO PRETO;ESTÁCIO RIBEIRÃO PRE;Privada com fins lucrativos;1593026;PRODUÇÃO DE CONTEÚDO DIGITAL;A Distância;-;20/10/2021;30/08/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE SANTA CATARINA - ESTÁCIO SANTA CATARINA;-;Privada com fins lucrativos;1581122;PRODUÇÃO DE CONTEÚDO DIGITAL;A Distância;-;23/08/2021;23/08/2021;Em Atividade
CENTRO UNIVERSITÁRIO ESTÁCIO DE BRASÍLIA - ESTÁCIO BRASÍLIA;ESTÁCIO BRASÍLIA;Privada com fins lucrativos;1597918;PRODUÇÃO DE CONTEÚDO DIGITAL;A Distância;-;Não iniciado;08/12/2021;Em Atividade
Claretiano - Centro Universitário;CLARETIANOBT;Privada sem fins lucrativos;1551107;PRODUÇÃO DE CONTEÚDOS DIGITAIS;A Distância;-;01/02/2021;12/09/2020;Em Atividade
FACULDADE LUIZ EDUARDO MAGALHÃES;FILEM;Privada sem fins lucrativos;95070;PRODUÇÃO DE GRÃOS;Presencial;3;05/02/2007;06/06/2006;Em Atividade
FACULDADE UNIME DE CIÊNCIAS SOCIAIS;FCS;Privada com fins lucrativos;1078833;PRODUÇÃO FONOGRÁFICA;Presencial;-;Não iniciado;10/02/2010;Extinto
CENTRO UNIVERSITÁRIO DE SALVADOR;UNICEUSA;Privada com fins lucrativos;71530;PRODUÇÃO GRÁFICA DIGITAL;Presencial;-;10/08/2009;05/04/2004;Extinto
